Time,Close,High,Low,Open,EMA,Signal
1719482400,9833933.0,9862291.0,9792528.37728284,9792528.37728284,9841723.479372293,-1
1719486000,9827477.0,9849461.0,9812564.0,9813230.68864142,9841345.421357693,-1
1719489600,9848606.0,9898999.0,9818539.0,9820353.84432071,9841481.012677,1
1719493200,9898971.0,9955555.0,9834479.922160355,9834479.922160355,9845954.502375942,1
1719496800,9951577.0,10021466.0,9866725.461080179,9866725.461080179,9848850.95326316,1
1719500400,9914763.75,9941854.0,9895108.0,9909151.23054009,9850946.170782251,1
1719504000,9917378.25,9945682.0,9897941.0,9911957.490270045,9853795.771928046,1
1719507600,9941798.25,9973835.0,9914667.870135022,9914667.870135022,9857567.467146555,1
1719511200,9948592.0,9963589.0,9928233.060067512,9928233.060067512,9861058.311572181,1
1719514800,9917064.25,9946584.0,9885000.0,9938412.530033756,9862196.7699419,1
1719518400,9892494.25,9927738.390016878,9874025.0,9927738.390016878,9863555.68092457,1
1719522000,9894955.0,9910116.320008438,9882643.0,9910116.320008438,9864869.536574587,1
1719525600,9901754.0,9915537.0,9890291.0,9902535.660004219,9866409.123375583,1
1719529200,9911395.5,9921624.0,9900689.0,9902144.83000211,9868477.000890266,1
1719532800,9917330.0,9929417.0,9893000.0,9906770.165001055,9870801.942031825,1
1719536400,9971752.5,10046476.0,9909650.0,9912050.082500529,9875990.924697243,1
1719540000,9971946.75,10013047.0,9922222.0,9941901.291250264,9878869.59431696,1
1719543600,9959401.75,9979999.0,9937178.0,9956924.020625133,9882483.845520217,1
1719547200,9956951.5,9971033.0,9928043.0,9958162.885312567,9885433.380990013,1
1719550800,9939108.25,9957824.0,9908421.0,9957557.192656282,9887278.777813934,1
1719554400,9930659.75,9948332.721328141,9918512.0,9948332.721328141,9888923.57084084,1
1719558000,9904240.25,9939496.23566407,9865607.0,9939496.23566407,9888807.901396101,-1
1719561600,9888571.0,9921868.242832035,9860354.0,9921868.242832035,9889397.552321745,1
1719565200,9900954.25,9912519.0,9878880.0,9905219.621416017,9890149.569877755,1
