Time,Close,High,Low,Open
1719986400,9906049,9916623,9892109,9899864
1719990000,9883931,9889571,9879197,9882693
1719993600,9861032,9875461,9841066,9855989
1719997200,9811421,9823595,9780000,9801640
1720000800,9730503,9816648,9711743,9816645
1720004400,9768472,9782079,9755138,9782079
1720008000,9732680,9783574,9726800,9783574
1720011600,9746475,9752288,9668000,9716107
1720015200,9738596,9809348,9720000,9796860
1720018800,9715066,9726994,9677675,9726994
1720022400,9777961,9777969,9710310,9728386
1720026000,9770500,9778758,9763890,9774956
1720029600,9760994,9766130,9745619,9755458
1720033200,9740001,9749857,9731041,9749857
1720036800,9680999,9693509,9661162,9661163
1720040400,9678704,9690004,9616390,9648318
1720044000,9744026,9752689,9721099,9744784
1720047600,9757769,9765750,9749119,9761471
1720051200,9770036,9779436,9734062,9737259
1720054800,9717783,9770036,9669482,9770036
1720058400,9529302,9539080,9370000,9464155
1720062000,9517403,9543837,9515177,9539242
1720065600,9538000,9570000,9538000,9562311
1720069200,9531693,9538438,9520186,9535962
